code,latitude,longitude,matched_grid,number
DH03368664,23.113,120.206,AIST,1
DH03368665,23.118,120.205,AIST,2
DH03368666,23.121,120.274,AIUN,1
DH03368667,23.115,120.296,AISY,1
DH03368668,23.12,120.289,AIUO,1
DH03368669,23.121,120.286,AIUO,2
DH03368670,23.118,120.292,AISX,1
DH03368671,23.115,120.285,AISX,2
DH03368672,23.125,121.207,AKOQ,1
DH03368673,23.117,121.215,AKOQ,2
DH03368674,23.126,121.281,AKOT,1
DH03368675,23.125,121.384,AKOY,1
DH03368676,23.115,121.383,AKOY,2
DH03368677,23.115,121.388,AKOZ,1
DH03368678,23.057,120.205,AINT,1
DH03368679,23.041,120.216,AIMD,1
DH03368680,23.043,120.204,AIMC,1
DH03368681,23.037,120.208,AIMC,2
DH03368682,23.036,120.21,AIMC,3
DH03368683,23.057,120.205,AINT,2
DH03368684,23.041,120.215,AIMD,2
DH03368685,23.043,120.204,AIMC,4
DH03368686,23.043,120.208,AIMC,5
DH03368687,23.047,120.286,AINX,1
DH03368688,23.046,120.291,AINX,2
DH03368689,23.044,120.294,AIMG,1
DH03368690,23.042,120.285,AIMG,2
DH03368691,23.035,120.283,AIMG,3
DH03368692,23.035,120.293,AIMG,4
DH03368693,23.036,120.285,AIMG,5
DH03368694,23.036,120.286,AIMG,6
DH03368695,23.033,120.288,AIMG,7
DH03368696,23.043,121.293,AKLE,1
DH03368697,23.042,121.29,AKLE,2
DH03368698,23.038,121.29,AKKI,1
DH03368699,23.039,121.289,AKKI,2
DH03368700,23.039,121.287,AKKI,3
DH03368701,23.039,121.295,AKKI,4
DH03368702,23.037,121.294,AKKI,5
DH03368703,23.034,121.284,AKKH,1
DH03368704,23.035,121.288,AKKI,6
DH03368705,23.034,121.289,AKKI,7
DH03368706,22.969,120.213,AIGH,1
DH03368707,22.96,120.203,AIGH,2
DH03368708,22.965,120.288,AIGL,1
DH03368709,22.96,120.296,AIGM,1
DH03368710,22.958,120.29,AIGL,2
DH03368711,22.956,120.287,AIGL,3
DH03368712,22.965,121.118,AKGO,1
DH03368713,22.958,121.13,AKGP,1
DH03368714,22.964,121.296,AKGX,1
DH03368715,22.957,121.289,AKGX,2
DH03368716,22.958,121.295,AKGX,3
DH03368717,22.887,120.285,AIBF,1
DH03368718,22.89,120.297,AIBG,1
DH03368719,22.885,120.292,AIBF,2
DH03368720,22.884,120.291,AIBF,3
DH03368721,22.883,120.288,AIBF,4
DH03368722,22.883,120.296,AIBG,2
DH03368723,22.882,120.297,AIBG,3
DH03368724,22.881,120.294,AIBF,5
DH03368725,22.874,120.279,AHZW,1
DH03368726,22.875,120.301,AHZX,1
DH03368727,22.875,120.288,AHZW,2
DH03368728,22.878,120.286,AIBF,6
DH03368729,22.874,120.296,AHZX,2
DH03368730,22.875,120.291,AHZW,3
DH03368731,22.888,120.535,AIBR,1
DH03368732,22.885,120.542,AIBS,1
DH03368733,22.88,120.542,AIBS,2
DH03368734,22.878,120.535,AIBR,2
DH03368735,22.874,120.539,AIAJ,1
DH03368736,22.874,120.535,AIAI,1
DH03368737,22.884,121.119,AKDG,1
DH03368738,22.88,121.12,AKDG,2
DH03368739,22.877,121.117,AKDG,3
DH03368740,22.883,121.23,AKDM,1
DH03368741,22.872,121.212,AKCT,1
DH03368742,22.873,121.207,AKDL,1
DH03368743,22.873,121.217,AKDL,2
DH03368744,22.798,120.294,AHUJ,1
DH03368745,22.798,120.283,AHUJ,2
DH03368746,22.793,120.288,AHUJ,3
DH03368747,22.793,120.284,AHUJ,4
DH03368748,22.789,120.294,AHUJ,5
DH03368749,22.789,120.283,AHUJ,6
DH03368750,22.791,120.286,AHUJ,7
DH03368751,22.781,120.284,AHTA,1
DH03368752,22.795,120.369,AHUN,1
DH03368753,22.794,120.373,AHUN,2
DH03368754,22.792,120.375,AHUN,3
DH03368755,22.795,120.468,AHUS,1
DH03368756,22.794,120.459,AHUS,2
DH03368757,22.79,120.546,AHUW,1
DH03368758,22.796,120.608,AHUZ,1
DH03368759,22.796,120.618,AHVA,1
DH03368760,22.792,120.624,AHVA,2
DH03368761,22.79,120.619,AHVA,3
DH03368762,22.79,120.617,AHVA,4
DH03368763,22.782,120.615,AHTQ,1
DH03368764,22.803,121.126,AKAT,1
DH03368765,22.802,121.12,AKAS,1
DH03368766,22.793,121.125,AKAF,1
DH03368767,22.789,121.119,AKAE,1
DH03368768,22.783,121.122,AKAF,2
DH03368769,22.717,120.285,AHPD,1
DH03368770,22.716,120.294,AHPD,2
DH03368771,22.711,120.292,AHPD,3
DH03368772,22.712,120.285,AHPD,4
DH03368773,22.707,120.286,AHNY,1
DH03368774,22.704,120.373,AHOC,1
DH03368775,22.715,120.55,AHPQ,1
DH03368776,22.709,120.554,AHPQ,2
DH03368777,22.716,120.543,AHPQ,3
DH03368778,22.715,120.531,AHPP,1
DH03368779,22.715,120.538,AHPQ,4
DH03368780,22.714,120.543,AHPQ,5
DH03368781,22.714,120.537,AHPQ,6
DH03368782,22.711,120.539,AHPQ,7
DH03368783,22.712,120.536,AHPP,2
DH03368784,22.711,120.544,AHPQ,8
DH03368785,22.709,120.533,AHPP,3
DH03368786,22.709,120.543,AHPQ,9
DH03368787,22.708,120.539,AHOL,1
DH03368788,22.706,120.532,AHOK,1
DH03368789,22.717,120.614,AHPT,1
DH03368790,22.706,120.625,AHOP,1
DH03368791,22.704,120.601,AHOO,1
DH03368792,22.708,120.619,AHOP,2
DH03368793,22.7,120.61,AHOO,2
DH03368794,22.706,120.618,AHOP,3
DH03368795,22.705,120.614,AHOO,3
DH03368796,22.715,121.042,AJYC,1
DH03368797,22.71,121.047,AJYC,2
DH03368798,22.709,121.043,AJYC,3
DH03368799,22.722,121.113,AJYF,1
DH03368800,22.628,120.377,AHJX,1
DH03368801,22.626,120.372,AHJW,1
DH03368802,22.627,120.383,AHJX,2
DH03368803,22.624,120.373,AHJW,2
DH03368804,22.622,120.387,AHJX,3
DH03368805,22.624,120.38,AHJX,4
DH03368806,22.62,120.386,AHJX,5
DH03368807,22.622,120.383,AHJX,6
DH03368808,22.624,120.379,AHJX,7
DH03368809,22.622,120.377,AHJX,8
DH03368810,22.622,120.379,AHJX,9
DH03368811,22.614,120.392,AHIY,1
DH03368812,22.627,120.456,AHKB,1
DH03368813,22.618,120.455,AHKA,1
DH03368814,22.624,120.463,AHKB,2
DH03368815,22.619,120.458,AHKB,3
DH03368816,22.615,120.462,AHJC,1
DH03368817,22.615,120.465,AHJC,2
DH03368818,22.616,120.461,AHJC,3
DH03368819,22.624,120.564,AHKG,1
DH03368820,22.628,120.542,AHKF,1
DH03368821,22.625,120.544,AHKF,2
DH03368822,22.628,120.537,AHKF,3
DH03368823,22.627,120.538,AHKF,4
DH03368824,22.615,120.527,AHJF,1
DH03368825,22.623,120.543,AHKF,5
DH03368826,22.621,120.544,AHKF,6
DH03368827,22.618,120.538,AHKF,7
DH03368828,22.621,120.541,AHKF,8
DH03368829,22.619,120.542,AHKF,9
DH03368830,22.619,120.546,AHKF,10
DH03368831,22.614,120.539,AHJG,1
DH03368832,22.614,120.544,AHJG,2
DH03368833,22.617,120.543,AHKF,11
DH03368834,22.625,120.622,AHKJ,1
DH03368835,22.618,120.621,AHKJ,2
DH03368836,22.616,120.627,AHKJ,3
DH03368837,22.617,120.614,AHKI,1
DH03368838,22.617,120.625,AHKJ,4
DH03368839,22.62,120.615,AHKI,2
DH03368840,22.616,120.62,AHKJ,5
DH03368841,22.614,120.62,AHJK,1
DH03368842,22.613,120.622,AHJK,2
DH03368843,22.549,120.376,AHGD,1
DH03368844,22.542,120.378,AHGD,2
DH03368845,22.544,120.375,AHGD,3
DH03368846,22.533,120.357,AHFF,1
DH03368847,22.537,120.376,AHFG,1
DH03368848,22.547,120.457,AHGH,1
DH03368849,22.543,120.473,AHGH,2
DH03368850,22.544,120.461,AHGH,3
DH03368851,22.545,120.466,AHGH,4
DH03368852,22.544,120.456,AHGH,5
DH03368853,22.544,120.46,AHGH,6
DH03368854,22.542,120.459,AHGH,7
DH03368855,22.541,120.455,AHFK,1
DH03368856,22.533,120.454,AHFK,2
DH03368857,22.538,120.465,AHFK,3
DH03368858,22.538,120.468,AHFK,4
DH03368859,22.537,120.463,AHFK,5
DH03368860,22.536,120.461,AHFK,6
DH03368861,22.533,120.46,AHFK,7
DH03368862,22.532,120.468,AHFK,8
DH03368863,22.533,120.458,AHFK,9
DH03368864,22.544,120.534,AHGK,1
DH03368865,22.545,120.54,AHGL,1
DH03368866,22.546,120.544,AHGL,2
DH03368867,22.543,120.542,AHGL,3
DH03368868,22.544,120.539,AHGL,4
DH03368869,22.544,120.547,AHGL,5
DH03368870,22.54,120.545,AHFO,1
DH03368871,22.541,120.541,AHFO,2
DH03368872,22.543,120.533,AHGK,2
DH03368873,22.543,120.545,AHGL,6
DH03368874,22.539,120.548,AHFO,3
DH03368875,22.54,120.545,AHFO,4
DH03368876,22.539,120.536,AHFO,5
DH03368877,22.538,120.543,AHFO,6
DH03368878,22.538,120.54,AHFO,7
DH03368879,22.537,120.542,AHFO,8
DH03368880,22.536,120.547,AHFO,9
DH03368881,22.536,120.537,AHFO,10
DH03368882,22.535,120.542,AHFO,11
DH03368883,22.527,120.541,AHFO,12
DH03368884,22.555,120.611,AHGO,1
DH03368885,22.545,120.62,AHGP,1
DH03368886,22.541,120.619,AHFS,1
DH03368887,22.539,120.611,AHFR,1
DH03368888,22.533,120.619,AHFS,2
DH03368889,22.534,120.622,AHFS,3
DH03368890,22.533,120.614,AHFR,2
DH03368891,22.465,120.483,AHCC,1
DH03368892,22.466,120.461,AHCB,1
DH03368893,22.464,120.463,AHCB,2
DH03368894,22.462,120.463,AHCB,3
DH03368895,22.466,120.547,AHCF,1
DH03368896,22.465,120.535,AHCE,1
DH03368897,22.464,120.537,AHCF,2
DH03368898,22.463,120.539,AHCF,3
DH03368899,22.464,120.543,AHCF,4
DH03368900,22.458,120.531,AHCE,2
DH03368901,22.462,120.542,AHCF,5
DH03368902,22.457,120.546,AHCF,6
DH03368903,22.456,120.545,AHCF,7
DH03368904,22.44,120.544,AHBN,1
DH03368905,22.466,120.613,AHCI,1
DH03368906,22.46,120.615,AHCI,2
DH03368907,22.385,120.616,AGZW,1
DH03368908,22.383,120.613,AGZV,1
DH03368909,22.378,120.616,AGZW,2
DH03368910,22.373,120.616,AGZK,1
DH03368911,22.046,120.708,AGSA,1
DH03368912,22.048,120.714,AGSB,1
DH03368913,22.047,120.716,AGSB,2
DH03368914,22.039,120.71,AGSA,2
DH03368915,22.042,120.715,AGSB,3
DH03368916,22.04,120.716,AGSB,4
DH03368917,22.032,120.7,AGRO,1
DH03368918,22.027,120.71,AGRO,2
DH03368919,21.942,120.719,AGPV,1
DH03368920,21.956,120.716,AGQD,1
