code,latitude,longitude,matched_grid,number
DH03368152,24.715,121.117,AEZU,1
DH03368153,24.724,121.708,AMZE,1
DH03368154,24.719,121.718,AMZF,1
DH03368155,24.716,121.717,AMZF,2
DH03368156,24.713,121.709,AMZE,2
DH03368157,24.71,121.785,AMZI,1
DH03368158,24.709,121.79,AMYW,1
DH03368159,24.706,121.797,AMYX,1
DH03368160,24.707,121.784,AMYW,2
DH03368161,24.645,120.811,AEVJ,1
DH03368162,24.64,120.784,AETZ,1
DH03368163,24.623,120.79,AESR,1
DH03368164,24.623,120.786,AESQ,1
DH03368165,24.621,120.788,AESQ,2
DH03368166,24.621,120.798,AESR,2
DH03368167,24.616,120.782,AESQ,3
DH03368168,24.619,120.792,AESR,3
DH03368169,24.61,120.802,AESR,4
DH03368170,24.621,120.89,AESV,1
DH03368171,24.634,121.717,AMWG,1
DH03368172,24.628,121.792,AMWJ,1
DH03368173,24.628,121.785,AMWJ,2
DH03368174,24.619,121.794,AMWJ,3
DH03368175,24.544,120.701,AENC,1
DH03368176,24.541,120.796,AENH,1
DH03368177,24.538,120.796,AENH,2
DH03368178,24.532,120.791,AELY,1
DH03368179,24.469,120.7,AEHU,1
DH03368180,24.465,120.716,AEHV,1
DH03368181,24.447,120.707,AEGO,1
DH03368182,24.464,120.71,AEHV,2
DH03368183,24.462,120.717,AEHV,3
DH03368184,24.462,120.713,AEHV,4
DH03368185,24.457,120.716,AEGO,2
DH03368186,24.474,120.789,AEHZ,1
DH03368187,24.455,120.783,AEGR,1
DH03368188,24.461,120.785,AEHY,1
DH03368189,24.381,120.608,ADYX,1
DH03368190,24.387,120.619,ADZT,1
DH03368191,24.386,120.618,ADZT,2
DH03368192,24.38,120.629,ADYY,1
DH03368193,24.383,120.613,ADYX,2
DH03368194,24.38,120.628,ADYY,2
DH03368195,24.371,120.618,ADYX,3
DH03368196,24.368,120.635,ADYY,3
DH03368197,24.403,120.671,AEEG,1
DH03368198,24.385,120.703,AEDI,1
DH03368199,24.38,120.705,ADZB,1
DH03368200,24.373,120.709,AECM,1
DH03368201,24.284,120.605,ADRT,1
DH03368202,24.293,120.634,ADTN,1
DH03368203,24.298,120.691,ADTQ,1
DH03368204,24.292,120.684,ADTP,1
DH03368205,24.296,120.717,ADTR,1
DH03368206,24.294,120.706,ADTQ,2
DH03368207,24.291,120.71,ADTR,2
DH03368208,24.292,120.718,ADTR,3
DH03368209,24.285,120.719,ADRY,1
DH03368210,24.287,120.79,ADSC,1
DH03368211,24.216,120.541,ADKU,1
DH03368212,24.216,120.534,ADKU,2
DH03368213,24.21,120.533,ADKU,3
DH03368214,24.209,120.541,ADKU,4
DH03368215,24.202,120.538,ADKU,5
DH03368216,24.204,120.545,ADKV,1
DH03368217,24.207,120.627,ADKZ,1
DH03368218,24.205,120.615,ADKY,1
DH03368219,24.204,120.623,ADKY,2
DH03368220,24.205,120.616,ADKY,3
DH03368221,24.227,120.635,ADMR,1
DH03368222,24.217,120.609,ADMQ,1
